Klasse,minimumSteigungWert,maximumSteigungWert,minimumSenkungWert,maximumSenkungWert,steigungA,steigungB,steigungC,senkungA,senkungB,senkungC,mittelA,mittelB,mittelC,gesamtA,gesamtB,gesamtC,fftAnfangMedian,fftAnfangMittel,fftAnfangPSD,fftMitteMedian,fftMitteMittel,fftMittePSD,fftEndeMedian,fftEndeMittel,fftEndePSD,fftGesamtMedian,fftGesamtMittel,fftGesamtPSD,mittelwert,signalstärke,varianz,standardabweichung,energie,kurtosis,schiefe,zeroCrossings,laenge,maximalwert,minimalwert
Finger1,166.4140516073799,476.4750862262797,85.62264822433688,521.3069747582097,158.7938293809134,3.761981581098709,-0.023536158802030638,489.4834032419145,-121.19512348840408,10.895165995208288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,36.74598245720876,9.301129140280266E9,29.565076745722543,44552.959675843966,346003.0412228535,588.2202319054094,1.4974119233392747E7,-0.5346995505517276,-0.18993352858771412,13.0,173.0,1208.5968,-1429.5502
Finger1,421.94565083973873,817.2553490559526,104.36782384926545,829.2313466543593,883.8783291482854,0.13285064697265625,0.13285064697265625,883.8783291482854,0.13285064697265625,0.13285064697265625,883.8783291482854,0.13285064697265625,0.13285064697265625,883.8783291482854,0.13285064697265625,0.13285064697265625,31.0,41.63701332074377,6.3557437789814E9,0.0,0.0,5679904.204364602,1.0,0.8370928314694993,1.9276054319387534E8,0.0,0.0,0.0,49.0650548368715,42341.76624766604,334472.1776509742,578.3356963312693,1.5293312388454514E7,1.1161202758127953,0.6515644891940189,11.0,179.0,1994.4214,-1413.9404
Finger1,67.76076864802393,526.0962152018499,182.30822071608108,556.2415486084903,182.14518634379328,137.0599650067827,-12.64034881462399,182.14518634379328,137.0599650067827,-12.64034881462399,182.14518634379328,137.0599650067827,-12.64034881462399,182.14518634379328,137.0599650067827,-12.64034881462399,1.0,1.039068622500564,1816459.609332543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-548.6339846153846,4842.337965314222,411321.713658569,641.3436782713064,2175021.3346834676,-1.765783644475617,0.24760180083394312,1.0,13.0,313.70544,-1291.1774
Finger1,60.62025295276642,264.4992525284645,123.36679114923679,284.04919812522576,301.9187934357692,-2.870922088623047,-2.870922088623047,301.9187934357692,-2.870922088623047,-2.870922088623047,301.9187934357692,-2.870922088623047,-2.870922088623047,301.9187934357692,-2.870922088623047,-2.870922088623047,2.0,2.5968370592183105,4309488.556822653,0.0,0.0,417630.3769451584,3.0,4.022637971813439,1.3221973562292227E8,0.0,0.0,0.0,-154.27987276190478,5778.311971342977,67502.43557316207,259.8123083557861,937595.6678376831,-0.47459614308675446,0.03925091301848796,4.0,42.0,314.20898,-728.92456
Finger1,135.7822231227074,369.49548936630833,140.06739375867787,458.9733057158901,316.21716694206384,-22.80736145582773,0.7459202080110288,251.05996284258026,33.96377473002269,-2.7224976389904825,251.05996284258026,33.96377473002269,-2.7224976389904825,251.05996284258026,33.96377473002269,-2.7224976389904825,0.0,0.7744579236869714,1106573.361058902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.94585982352942,4814.2362661877905,313303.5640337755,559.7352624533991,1553104.179086742,-1.2677160219991082,0.06020194365705865,1.0,17.0,1132.7637,-602.93884
Finger1,126.72704072820603,350.22594115439915,192.96498324288046,360.5922586243498,183.75869348255173,1.6412752818793592,-0.009266403775249898,183.75869348255173,1.6412752818793592,-0.009266403775249898,183.75869348255173,1.6412752818793592,-0.009266403775249898,183.75869348255173,1.6412752818793592,-0.009266403775249898,25.0,34.7925523577048,1.811258544618712E10,0.0,0.0,1396195.1733454212,2.0,2.3750991633490113,2.8903548369817466E7,0.0,0.0,0.0,-26.012466881632673,44301.92067023004,281405.2752439856,530.4764605936682,1.3780727049715633E7,0.05141097085672364,0.47787855354613484,15.0,196.0,1489.8743,-1190.9729
Finger1,257.858825695034,522.9363663635646,75.25991603833704,608.027279842851,309.5029766520206,-7.41583799585473,0.06260892218976055,309.5029766520206,-7.41583799585473,0.06260892218976055,309.5029766520206,-7.41583799585473,0.06260892218976055,309.5029766520206,-7.41583799585473,0.06260892218976055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Finger1,168.50866958891143,385.06283294248107,211.7271745460566,433.22978824451155,422.74529878342486,0.0,0.0,422.74529878342486,0.0,0.0,422.74529878342486,0.0,0.0,422.74529878342486,0.0,0.0,2.0,3.6958831612941676,1.9815266520301813E8,0.0,NaN,0.0,2.0,2.6017001657031584,4.128883944897769E7,0.0,0.0,0.0,-129.80347112121206,8708.709573485998,307135.656216313,554.1982102247472,2624347.6449308284,-0.8128761319584887,0.6499269230520001,2.0,33.0,1026.6174,-837.5885
Finger1,43.264898515150676,332.59107903151806,115.31555269235781,353.5422349699938,339.7088913977429,-55.91528256162178,-1.0144388699266074,339.7088913977429,-55.91528256162178,-1.0144388699266074,339.7088913977429,-55.91528256162178,-1.0144388699266074,100.95878679315638,84.00350207933843,-6.973255680323213,1.0,0.8610453285784946,2723324.939255098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,453.72554257142855,3346.645303148849,73834.66242943027,271.72534373780866,954864.5488156119,-1.8018301596961037,-0.08526004380822237,0.0,14.0,780.38635,99.298096
Finger1,13.515355994098039,227.91850092277468,85.40562236245592,289.6763751097467,233.58774010910676,-84.1151007557574,7.83695749799265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Finger1,76.117098658447,340.87216220408214,88.66398661381793,422.9980333843425,149.23207641334056,3.6875563550027124,-0.02590998368092856,149.23207641334056,3.6875563550027124,-0.02590998368092856,149.23207641334056,3.6875563550027124,-0.02590998368092856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1839099.425956,0.0,0.0,0.0,0.0,0.0,0.0,-6.823753906250015,31173.47431038206,297225.99304663413,545.1843661062138,9450356.714157427,-0.44174393551090985,0.5815891656368312,8.0,128.0,1391.3818,-990.26184
Finger1,54.47192164783862,269.28610569446073,78.79665915095796,281.1522763603015,278.8535073091231,-81.29233008744274,6.948846276577953,346.4183060198959,-4.721634324697774,0.032820927092303,346.4183060198959,-4.721634324697774,0.032820927092303,346.4183060198959,-4.721634324697774,0.032820927092303,13.0,17.46352418264074,1.1997686175853329E9,0.0,0.0,0.0,1.0,0.8460331194633934,1.7846642285997223E7,0.0,0.0,0.0,-4.780141801980208,22248.956253430697,252991.50446984055,502.9826085162792,6330695.360954309,-0.8111838023184599,0.2930222591863324,7.0,101.0,1102.652,-848.8678
Finger1,122.70071775659771,340.79699860602904,55.494205805753666,358.093343182241,-11.865098686058218,65.34206882701687,-3.3629384253967842,-11.865098686058218,65.34206882701687,-3.3629384253967842,-11.865098686058218,65.34206882701687,-3.3629384253967842,-11.865098686058218,65.34206882701687,-3.3629384253967842,1.0,1.8489631182122612,3376684.463969382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-223.89068823333335,3780.9196647326708,171334.11028446106,413.9252472179742,992242.6629052585,-1.6302949546244636,-0.22325001853966991,3.0,18.0,318.43872,-836.1786
